# Exported from Du Chinese
Simplified,Traditional,Pinyin,Meaning,Simplified sentence,Traditional sentence,Sentence pinyin,Sentence translation
上班,上班,shàng bān,"to go to work
to be on duty",告诉上班的人早点去工作，不要迟到。,告訴上班的人早點去工作，不要遲到。,gào su shàng bān de rén zǎo diǎn qù gōng zuò bú yào chí dào,The signs were reminding people to go to work early and don’t be late.
牌子,牌子,pái zi,"brand
sign",保罗：我早上出门的时候，看到路边挂着一些牌子，上面写着“早点”两个大字，,保羅：我早上出門的時候，看到路邊掛著一些牌子，上面寫著“早點”兩個大字，,bǎo luó wǒ zǎo shang chū mén de shí hou kàn dào lù biān guà zhe yì xiē pái zi shàng miàn xiě zhe zǎo diǎn liǎng ge dà zì,"Paul: When I went out this morning, I saw some signs beside the road with two big characters: “Zao Dian”."
路边,路邊,lù biān,"curb
roadside",保罗：我早上出门的时候，看到路边挂着一些牌子，上面写着“早点”两个大字，,保羅：我早上出門的時候，看到路邊掛著一些牌子，上面寫著“早點”兩個大字，,bǎo luó wǒ zǎo shang chū mén de shí hou kàn dào lù biān guà zhe yì xiē pái zi shàng miàn xiě zhe zǎo diǎn liǎng ge dà zì,"Paul: When I went out this morning, I saw some signs beside the road with two big characters: “Zao Dian”."
出门,出門,chū mén,to go out,保罗：我早上出门的时候，看到路边挂着一些牌子，上面写着“早点”两个大字，,保羅：我早上出門的時候，看到路邊掛著一些牌子，上面寫著“早點”兩個大字，,bǎo luó wǒ zǎo shang chū mén de shí hou kàn dào lù biān guà zhe yì xiē pái zi shàng miàn xiě zhe zǎo diǎn liǎng ge dà zì,"Paul: When I went out this morning, I saw some signs beside the road with two big characters: “Zao Dian”."
努力,努力,nǔ lì,"great effort
to strive
to try hard",努力的中国人,努力的中國人,nǔ lì de zhōng guó rén,Hard working Chinese people
减肥,減肥,jiǎn féi,to lose weight,我要减肥,我要減肥,wǒ yào jiǎn féi,I'm going to lose weight
直接,直接,zhí jiē,"immediate
directly",王力：你可以直接说：“给我一杯茶。”,王力：你可以直接說：“給我一杯茶。”,wáng lì nǐ kě yǐ zhí jiē shuō gěi wǒ yì bēi chá,Wang Li: You could have directly said: “give me a cup of tea”.
倒,倒,dào,"to place upside down
to invert
to pour",保罗：把茶叶放进杯子里，再把开水倒进茶杯里。,保羅：把茶葉放進杯子裡，再把開水倒進茶杯裡。,bǎo luó bǎ chá yè fàng jìn bēi zi lǐ zài bǎ kāi shuǐ dào jìn chá bēi lǐ,Paul: Put tea leafs into the cup and then pour some hot water into it.
茶杯,茶杯,chá bēi,"teacup
mug",保罗：把茶叶放进杯子里，再把开水倒进茶杯里。,保羅：把茶葉放進杯子裡，再把開水倒進茶杯裡。,bǎo luó bǎ chá yè fàng jìn bēi zi lǐ zài bǎ kāi shuǐ dào jìn chá bēi lǐ,Paul: Put tea leafs into the cup and then pour some hot water into it.
放进,放進,fàng jìn,to put into,保罗：把茶叶放进杯子里，再把开水倒进茶杯里。,保羅：把茶葉放進杯子裡，再把開水倒進茶杯裡。,bǎo luó bǎ chá yè fàng jìn bēi zi lǐ zài bǎ kāi shuǐ dào jìn chá bēi lǐ,Paul: Put tea leafs into the cup and then pour some hot water into it.
桌子,桌子,zhuō zi,table,保罗：把我的杯子放在桌子上。,保羅：把我的杯子放在桌子上。,bǎo luó bǎ wǒ de bēi zi fàng zài zhuō zi shang,Paul: Put my cup on the table.
杯子,杯子,bēi zi,"cup
glass",保罗：把我的杯子放在桌子上。,保羅：把我的杯子放在桌子上。,bǎo luó bǎ wǒ de bēi zi fàng zài zhuō zi shang,Paul: Put my cup on the table.
放,放,fàng,"to put
to place",保罗：把我的杯子放在桌子上。,保羅：把我的杯子放在桌子上。,bǎo luó bǎ wǒ de bēi zi fàng zài zhuō zi shang,Paul: Put my cup on the table.
茶叶,茶葉,chá yè,"tea
tea leaves",保罗：把茶叶拿过来。,保羅：把茶葉拿過來。,bǎo luó bǎ chá yè ná guò lái,Paul: Bring the tea leafs.
过来,過來,guò lái,to come over,保罗：把茶叶拿过来。,保羅：把茶葉拿過來。,bǎo luó bǎ chá yè ná guò lái,Paul: Bring the tea leafs.
拿,拿,ná,"to hold
to take",王力：好，你要拿什么？,王力：好，你要拿什麼？,wáng lì hǎo nǐ yào ná shén me,"Wang Li: Ok, what do you want?"
打开,打開,dǎ kāi,"to open
to turn on
to switch on",保罗：可以把柜子门打开吗？,保羅：可以把櫃子門打開嗎？,bǎo luó kě yǐ bǎ guì zi mén dǎ kāi ma,Paul: Could you open the cupboard?
柜子,櫃子,guì zi,"cupboard
cabinet",保罗：可以把柜子门打开吗？,保羅：可以把櫃子門打開嗎？,bǎo luó kě yǐ bǎ guì zi mén dǎ kāi ma,Paul: Could you open the cupboard?
当然,當然,dāng rán,"certainly
of course",王力：当然可以，什么事？,王力：當然可以，什麼事？,wáng lì dāng rán kě yǐ shén me shì,"Wang Li: Sure, what’s the matter?"
事,事,shì,"matter
thing",王力：当然可以，什么事？,王力：當然可以，什麼事？,wáng lì dāng rán kě yǐ shén me shì,"Wang Li: Sure, what’s the matter?"
忙,忙,máng,busy,保罗：王力，你可以帮我个忙吗？,保羅：王力，你可以幫我個忙嗎？,bǎo luó wáng lì nǐ kě yǐ bāng wǒ ge máng ma,"Paul: Wang Li, could you do me a favor?"
学习,學習,xué xí,"to learn
to study",怎么学习“把”字句,怎麼學習“把”字句,zěn me xué xí bǎ zì jù,How to learn the “Ba” structure
字句,字句,zì jù,"words
expressions
writing",怎么学习“把”字句,怎麼學習“把”字句,zěn me xué xí bǎ zì jù,How to learn the “Ba” structure
困,睏,kùn,"sleepy
tired",圆圆：哦，我明白了。我昨天熬夜了，现在困成狗！,圓圓：哦，我明白了。我昨天熬夜了，現在睏成狗！,yuán yuán ò wǒ míng bai le wǒ zuó tiān áo yè le xiàn zài kùn chéng gǒu,Yuanyuan: I understand. I stayed up late last night. Right now I am dead tired!
熬夜,熬夜,áo yè,to stay up late or all night,圆圆：哦，我明白了。我昨天熬夜了，现在困成狗！,圓圓：哦，我明白了。我昨天熬夜了，現在睏成狗！,yuán yuán ò wǒ míng bai le wǒ zuó tiān áo yè le xiàn zài kùn chéng gǒu,Yuanyuan: I understand. I stayed up late last night. Right now I am dead tired!
表示,表示,biǎo shì,"to express
to say",丹丹：意思就是“非常冷”和“非常热”。你可以用“成狗”表示“非常”。,丹丹：意思就是“非常冷”和“非常熱”。你可以用“成狗”表示“非常”。,dān dān yì si jiù shì fēi cháng lěng hé fēi cháng rè nǐ kě yǐ yòng chéng gǒu biǎo shì fēi cháng,Dandan: I mean “very cold” and “very warm”. You can use “like a dog” to express “very”.
非常,非常,fēi cháng,"very
extremely",丹丹：意思就是“非常冷”和“非常热”。你可以用“成狗”表示“非常”。,丹丹：意思就是“非常冷”和“非常熱”。你可以用“成狗”表示“非常”。,dān dān yì si jiù shì fēi cháng lěng hé fēi cháng rè nǐ kě yǐ yòng chéng gǒu biǎo shì fēi cháng,Dandan: I mean “very cold” and “very warm”. You can use “like a dog” to express “very”.
就,就,jiù,just (emphasis),丹丹：意思就是“非常冷”和“非常热”。你可以用“成狗”表示“非常”。,丹丹：意思就是“非常冷”和“非常熱”。你可以用“成狗”表示“非常”。,dān dān yì si jiù shì fēi cháng lěng hé fēi cháng rè nǐ kě yǐ yòng chéng gǒu biǎo shì fēi cháng,Dandan: I mean “very cold” and “very warm”. You can use “like a dog” to express “very”.
不过,不過,bú guò,"but
however
anyway (to get back to a previous topic)",圆圆：是啊。不过，“冻成狗”和“热成狗”是什么意思？,圓圓：是啊。不過，“凍成狗”和“熱成狗”是什麼意思？,yuán yuán shì a bú guò dòng chéng gǒu hé rè chéng gǒu shì shén me yì si,"Yuanyuan: Yeah, but what do you mean by “freezing like a dog” and “warm like a dog”?"
冻,凍,dòng,"to freeze
to feel very cold",丹丹：现在温差特别大，早上冻成狗，中午热成狗！,丹丹：現在溫差特別大，早上凍成狗，中午熱成狗！,dān dān xiàn zài wēn chā tè bié dà zǎo shang dòng chéng gǒu zhōng wǔ rè chéng gǒu,"Dandan: The temperature difference is quite big now. Freezing cold in the morning, burning hot at noon!"
特别,特別,tè bié,"especially
special
unusual",丹丹：现在温差特别大，早上冻成狗，中午热成狗！,丹丹：現在溫差特別大，早上凍成狗，中午熱成狗！,dān dān xiàn zài wēn chā tè bié dà zǎo shang dòng chéng gǒu zhōng wǔ rè chéng gǒu,"Dandan: The temperature difference is quite big now. Freezing cold in the morning, burning hot at noon!"
温差,溫差,wēn chā,difference in temperature,丹丹：现在温差特别大，早上冻成狗，中午热成狗！,丹丹：現在溫差特別大，早上凍成狗，中午熱成狗！,dān dān xiàn zài wēn chā tè bié dà zǎo shang dòng chéng gǒu zhōng wǔ rè chéng gǒu,"Dandan: The temperature difference is quite big now. Freezing cold in the morning, burning hot at noon!"
季节,季節,jì jié,"time
season
period",真的是两个季节啊！,真的是兩個季節啊！,zhēn de shì liǎng ge jì jié a,Really two different seasons!
短,短,duǎn,"short
brief",圆圆：今天我看见路上有穿羽绒服的，也有穿短裙的，,圓圓：今天我看見路上有穿羽絨服的，也有穿短裙的，,yuán yuán jīn tiān wǒ kàn jiàn lù shang yǒu chuān yǔ róng fú de yě yǒu chuān duǎn qún de,Yuanyuan: Today on the street I saw people wearing both feather down coats and short skirts.
裙,裙,qún,skirt,圆圆：今天我看见路上有穿羽绒服的，也有穿短裙的，,圓圓：今天我看見路上有穿羽絨服的，也有穿短裙的，,yuán yuán jīn tiān wǒ kàn jiàn lù shang yǒu chuān yǔ róng fú de yě yǒu chuān duǎn qún de,Yuanyuan: Today on the street I saw people wearing both feather down coats and short skirts.
路上,路上,lù shang,"on the road
on a journey",圆圆：今天我看见路上有穿羽绒服的，也有穿短裙的，,圓圓：今天我看見路上有穿羽絨服的，也有穿短裙的，,yuán yuán jīn tiān wǒ kàn jiàn lù shang yǒu chuān yǔ róng fú de yě yǒu chuān duǎn qún de,Yuanyuan: Today on the street I saw people wearing both feather down coats and short skirts.
都,都,dōu,"(used for emphasis) even
already",丹丹：现在的天气变得太快了，都不知道怎么穿衣服了！,丹丹：現在的天氣變得太快了，都不知道怎麼穿衣服了！,dān dān xiàn zài de tiān qì biàn de tài kuài le dōu bù zhī dào zěn me chuān yī fu le,Dandan: The weather nowadays changes so fast. I literally have no idea what to put on!
穿,穿,chuān,"to wear
to put on",丹丹：现在的天气变得太快了，都不知道怎么穿衣服了！,丹丹：現在的天氣變得太快了，都不知道怎麼穿衣服了！,dān dān xiàn zài de tiān qì biàn de tài kuài le dōu bù zhī dào zěn me chuān yī fu le,Dandan: The weather nowadays changes so fast. I literally have no idea what to put on!
衣服,衣服,yī fu,clothes,丹丹：现在的天气变得太快了，都不知道怎么穿衣服了！,丹丹：現在的天氣變得太快了，都不知道怎麼穿衣服了！,dān dān xiàn zài de tiān qì biàn de tài kuài le dōu bù zhī dào zěn me chuān yī fu le,Dandan: The weather nowadays changes so fast. I literally have no idea what to put on!
天气,天氣,tiān qì,weather,丹丹：现在的天气变得太快了，都不知道怎么穿衣服了！,丹丹：現在的天氣變得太快了，都不知道怎麼穿衣服了！,dān dān xiàn zài de tiān qì biàn de tài kuài le dōu bù zhī dào zěn me chuān yī fu le,Dandan: The weather nowadays changes so fast. I literally have no idea what to put on!
变,變,biàn,"to become
to change",丹丹：现在的天气变得太快了，都不知道怎么穿衣服了！,丹丹：現在的天氣變得太快了，都不知道怎麼穿衣服了！,dān dān xiàn zài de tiān qì biàn de tài kuài le dōu bù zhī dào zěn me chuān yī fu le,Dandan: The weather nowadays changes so fast. I literally have no idea what to put on!
得,得,de,"structural particle: used after a verb or adjective, linking it to following phrase indicating effect, degree, possibility etc",丹丹：现在的天气变得太快了，都不知道怎么穿衣服了！,丹丹：現在的天氣變得太快了，都不知道怎麼穿衣服了！,dān dān xiàn zài de tiān qì biàn de tài kuài le dōu bù zhī dào zěn me chuān yī fu le,Dandan: The weather nowadays changes so fast. I literally have no idea what to put on!
下雨,下雨,xià yǔ,to rain,圆圆：是啊，昨天还下雨呢！,圓圓：是啊，昨天還下雨呢！,yuán yuán shì a zuó tiān hái xià yǔ ne,Yuanyuan: Yeah. It was raining yesterday!
突然,突然,tū rán,"suddenly
abruptly",丹丹：今天怎么突然这么热！,丹丹：今天怎麼突然這麼熱！,dān dān jīn tiān zěn me tū rán zhè me rè,Dandan: Why is it suddenly so hot today!
这么,這麼,zhè me,"this way
like this",丹丹：今天怎么突然这么热！,丹丹：今天怎麼突然這麼熱！,dān dān jīn tiān zěn me tū rán zhè me rè,Dandan: Why is it suddenly so hot today!
成,成,chéng,"to become
to turn into",……成狗,……成狗,chéng gǒu,Like a dog
漂亮,漂亮,piào liang,"pretty
beautiful",今天丽丽看到了我的手表，她说我的手表很漂亮，我太高兴了。,今天麗麗看到了我的手錶，她說我的手錶很漂亮，我太高興了。,jīn tiān lì lì kàn dào le wǒ de shǒu biǎo tā shuō wǒ de shǒu biǎo hěn piào liang wǒ tài gāo xìng le,Today Lili saw my watch and said that it was beautiful. I'm really happy.
看到,看到,kàn dào,"to notice
to see",今天丽丽看到了我的手表，她说我的手表很漂亮，我太高兴了。,今天麗麗看到了我的手錶，她說我的手錶很漂亮，我太高興了。,jīn tiān lì lì kàn dào le wǒ de shǒu biǎo tā shuō wǒ de shǒu biǎo hěn piào liang wǒ tài gāo xìng le,Today Lili saw my watch and said that it was beautiful. I'm really happy.
商店,商店,shāng diàn,"store
shop",昨天我在学校旁边的商店买了一个手表，200元，我很喜欢。,昨天我在學校旁邊的商店買了一個手錶，200元，我很喜歡。,zuó tiān wǒ zài xué xiào páng biān de shāng diàn mǎi le yí ge shǒu biǎo 200 yuán wǒ hěn xǐ huan,Yesterday I bought a watch at the store next to the school for 200 yuan. I really like it.
阴,陰,yīn,"overcast (weather)
cloudy",2017年7月15日 阴,2017年7月15日 陰,2017 nián 7 yuè 15 rì yīn,2017-07-15 Cloudy
旁边,旁邊,páng biān,"side
beside",昨天我在学校旁边的商店买了一个手表，200元，我很喜欢。,昨天我在學校旁邊的商店買了一個手錶，200元，我很喜歡。,zuó tiān wǒ zài xué xiào páng biān de shāng diàn mǎi le yí ge shǒu biǎo 200 yuán wǒ hěn xǐ huan,Yesterday I bought a watch at the store next to the school for 200 yuan. I really like it.
买,買,mǎi,"to buy
to purchase",本的日记-买手表,本的日記-買手錶,běn de rì jì mǎi shǒu biǎo,Ben's Diary — Buying a Watch
手表,手錶,shǒu biǎo,wrist watch,本的日记-买手表,本的日記-買手錶,běn de rì jì mǎi shǒu biǎo,Ben's Diary — Buying a Watch
进,進,jìn,"to go in
to enter
to put in",阿姨：在。请进。你想喝茶还是喝水？,阿姨：在。請進。你想喝茶還是喝水？,ā yí zài qǐng jìn nǐ xiǎng hē chá hái shi hē shuǐ,Aunt: Yes. Please come in. Would you like to drink tea or water?
阿姨,阿姨,ā yí,"aunt
woman of similar age to one's parents",本：阿姨好！王老师在吗？,本：阿姨好！王老師在嗎？,běn ā yí hǎo wáng lǎo shī zài ma,"Ben: Hi, aunt! Is teacher Wang at home?"
丽丽,麗麗,lì lì,Lili (name),本：丽丽，今天是几号？,本：麗麗，今天是幾號？,běn lì lì jīn tiān shì jǐ hào,"Ben: Lili, what date is it today?"
胖子,胖子,pàng zi,"fat person
fatty",他想：要是我说是一个人吃的话，服务员肯定会笑我吃太多，说我是小胖子的。,他想：要是我說是一個人吃的話，服務員肯定會笑我吃太多，說我是小胖子的。,tā xiǎng yào shi wǒ shuō shì yí ge rén chī de huà fú wù yuán kěn dìng huì xiào wǒ chī tài duō shuō wǒ shì xiǎo pàng zi de,"He thought: If I tell her it's one person, she will surely laugh at me for eating too much and call me a little fatty."
肯定,肯定,kěn dìng,"to be sure
to be certain
definite",他想：要是我说是一个人吃的话，服务员肯定会笑我吃太多，说我是小胖子的。,他想：要是我說是一個人吃的話，服務員肯定會笑我吃太多，說我是小胖子的。,tā xiǎng yào shi wǒ shuō shì yí ge rén chī de huà fú wù yuán kěn dìng huì xiào wǒ chī tài duō shuō wǒ shì xiǎo pàng zi de,"He thought: If I tell her it's one person, she will surely laugh at me for eating too much and call me a little fatty."
笑,笑,xiào,"laugh
smile",他想：要是我说是一个人吃的话，服务员肯定会笑我吃太多，说我是小胖子的。,他想：要是我說是一個人吃的話，服務員肯定會笑我吃太多，說我是小胖子的。,tā xiǎng yào shi wǒ shuō shì yí ge rén chī de huà fú wù yuán kěn dìng huì xiào wǒ chī tài duō shuō wǒ shì xiǎo pàng zi de,"He thought: If I tell her it's one person, she will surely laugh at me for eating too much and call me a little fatty."
要是,要是,yào shi,"if
in case",他想：要是我说是一个人吃的话，服务员肯定会笑我吃太多，说我是小胖子的。,他想：要是我說是一個人吃的話，服務員肯定會笑我吃太多，說我是小胖子的。,tā xiǎng yào shi wǒ shuō shì yí ge rén chī de huà fú wù yuán kěn dìng huì xiào wǒ chī tài duō shuō wǒ shì xiǎo pàng zi de,"He thought: If I tell her it's one person, she will surely laugh at me for eating too much and call me a little fatty."
服务员,服務員,fú wù yuán,"waiter
waitress",服务员问他：“几个人吃？”,服務員問他：“幾個人吃？”,fú wù yuán wèn tā jǐ ge rén chī,The waitress asked him: “How many people are eating?”
点菜,點菜,diǎn cài,to order dishes (in a restaurant),小明肚子饿了，他去饭店点菜，准备带回家吃。,小明肚子餓了，他去飯店點菜，準備帶回家吃。,xiǎo míng dù zi è le tā qù fàn diàn diǎn cài zhǔn bèi dài huí jiā chī,"Little Ming was hungry. He went to the restaurant to order, and was just about to return home to eat."
准备,準備,zhǔn bèi,"preparation
to prepare
to be about to",小明肚子饿了，他去饭店点菜，准备带回家吃。,小明肚子餓了，他去飯店點菜，準備帶回家吃。,xiǎo míng dù zi è le tā qù fàn diàn diǎn cài zhǔn bèi dài huí jiā chī,"Little Ming was hungry. He went to the restaurant to order, and was just about to return home to eat."
带回,帶回,dài huí,to bring back,小明肚子饿了，他去饭店点菜，准备带回家吃。,小明肚子餓了，他去飯店點菜，準備帶回家吃。,xiǎo míng dù zi è le tā qù fàn diàn diǎn cài zhǔn bèi dài huí jiā chī,"Little Ming was hungry. He went to the restaurant to order, and was just about to return home to eat."
饭店,飯店,fàn diàn,"restaurant
hotel",小明肚子饿了，他去饭店点菜，准备带回家吃。,小明肚子餓了，他去飯店點菜，準備帶回家吃。,xiǎo míng dù zi è le tā qù fàn diàn diǎn cài zhǔn bèi dài huí jiā chī,"Little Ming was hungry. He went to the restaurant to order, and was just about to return home to eat."
问路,問路,wèn lù,"to ask for directions
to ask the way (to some place)",所以，以后我在学校问路，我要说：“同学，请问图书馆怎么走？”,所以，以後我在學校問路，我要說：“同學，請問圖書館怎麼走？”,suǒ yǐ yǐ hòu wǒ zài xué xiào wèn lù wǒ yào shuō tóng xué qǐng wèn tú shū guǎn zěn me zǒu,"So next time I ask for directions at school, I will say: “Classmate, how do I get to the library?”"
被,被,bèi,"by
(indicates passive-voice clauses)",后来丽丽和我说中国人不喜欢被叫“小姐”。,後來麗麗和我說中國人不喜歡被叫“小姐”。,hòu lái lì lì hé wǒ shuō zhōng guó rén bù xǐ huan bèi jiào xiǎo jie,Afterwards Lili told me that Chinese people don't like to be called “Miss”.
以后,以後,yǐ hòu,"afterwards
in the future",所以，以后我在学校问路，我要说：“同学，请问图书馆怎么走？”,所以，以後我在學校問路，我要說：“同學，請問圖書館怎麼走？”,suǒ yǐ yǐ hòu wǒ zài xué xiào wèn lù wǒ yào shuō tóng xué qǐng wèn tú shū guǎn zěn me zǒu,"So next time I ask for directions at school, I will say: “Classmate, how do I get to the library?”"
回答,回答,huí dá,"to reply
to answer",她很生气，没有回答我。,她很生氣，沒有回答我。,tā hěn shēng qì méi yǒu huí dá wǒ,She got very angry and didn't answer me.
后来,後來,hòu lái,"afterwards
later",后来丽丽和我说中国人不喜欢被叫“小姐”。,後來麗麗和我說中國人不喜歡被叫“小姐”。,hòu lái lì lì hé wǒ shuō zhōng guó rén bù xǐ huan bèi jiào xiǎo jie,Afterwards Lili told me that Chinese people don't like to be called “Miss”.
